,交通运输,仪器仪表,传媒娱乐,供水供气,公路桥梁,其它行业,农林牧渔,农药化肥,化工行业,化纤行业,医疗器械,印刷包装,发电设备,商业百货,塑料制品,家具行业,家电行业,建筑建材,开发区,房地产,摩托车,有色金属,服装鞋类,机械行业,次新股,水泥行业,汽车制造,煤炭行业,物资外贸,环保行业,玻璃行业,生物制药,电力行业,电器行业,电子信息,电子器件,石油行业,纺织机械,纺织行业,综合行业,船舶制造,造纸行业,酒店旅游,酿酒行业,金融行业,钢铁行业,陶瓷行业,飞机制造,食品行业
2026-01-05/2026-01-11,0.11494252873563218,0.10416666666666667,0.25,0.04,0.0,0.08187134502923976,0.28125,0.17391304347826086,0.28859060402684567,0.38461538461538464,0.06451612903225806,0.4,0.4307692307692308,0.08602150537634409,0.30303030303030304,0.0,0.0,0.21978021978021978,0.5,0.13821138211382114,0.16666666666666666,0.6470588235294118,0.061224489795918366,0.2037914691943128,0.0,0.0,0.34951456310679613,0.14634146341463414,0.42857142857142855,0.2222222222222222,0.2631578947368421,0.07741935483870968,0.14516129032258066,0.2413793103448276,0.3117408906882591,0.21052631578947367,0.25,0.375,0.2857142857142857,0.06060606060606061,0.75,0.25,0.2,0.0,0.19607843137254902,0.23333333333333334,0.0,0.7142857142857143,0.06896551724137931
2026-01-12/2026-01-18,0.20689655172413793,0.3125,0.8,0.08,0.15,0.08187134502923976,0.046875,0.13043478260869565,0.14093959731543623,0.2692307692307692,0.41935483870967744,0.25,0.26153846153846155,0.20430107526881722,0.09090909090909091,0.0625,0.13513513513513514,0.25274725274725274,0.9,0.21951219512195122,0.8333333333333334,0.25,0.20408163265306123,0.1895734597156398,0.013245033112582781,0.15384615384615385,0.3106796116504854,0.04878048780487805,0.42857142857142855,0.07407407407407407,0.3157894736842105,0.16129032258064516,0.3225806451612903,0.25862068965517243,0.4291497975708502,0.375,0.5416666666666666,0.125,0.07142857142857142,0.12121212121212122,0.375,0.08333333333333333,0.14285714285714285,0.0,0.3137254901960784,0.38333333333333336,0.0,0.07142857142857142,0.1206896551724138
2026-01-19/2026-01-25,0.1724137931034483,0.22916666666666666,0.225,0.44,0.05,0.05263157894736842,0.0625,0.21739130434782608,0.3221476510067114,0.23076923076923078,0.1935483870967742,0.35,0.1076923076923077,0.26881720430107525,0.30303030303030304,0.3125,0.5135135135135135,0.24175824175824176,0.0,0.2601626016260163,0.6666666666666666,0.04411764705882353,0.4897959183673469,0.23222748815165878,0.013245033112582781,0.2692307692307692,0.17475728155339806,0.0975609756097561,0.6666666666666666,0.25925925925925924,0.3684210526315789,0.24516129032258063,0.8709677419354839,0.6724137931034483,0.11336032388663968,0.17763157894736842,0.4166666666666667,0.75,0.23809523809523808,0.42424242424242425,0.0,0.25,0.45714285714285713,0.2727272727272727,0.17647058823529413,0.25,0.0,0.0,0.41379310344827586
2026-01-26/2026-02-01,0.4367816091954023,0.020833333333333332,0.025,0.52,0.1,0.08771929824561403,0.328125,0.45652173913043476,0.20134228187919462,0.23076923076923078,0.12903225806451613,0.0,0.03076923076923077,0.16129032258064516,0.09090909090909091,0.0,0.13513513513513514,0.26373626373626374,0.4,0.18699186991869918,0.3333333333333333,0.0,0.16326530612244897,0.061611374407582936,0.013245033112582781,0.6538461538461539,0.14563106796116504,0.3902439024390244,0.14285714285714285,0.3333333333333333,0.3684210526315789,0.17419354838709677,0.3870967741935484,0.0,0.04048582995951417,0.10526315789473684,0.125,0.25,0.42857142857142855,0.3333333333333333,0.0,0.5,0.08571428571428572,0.2727272727272727,0.0196078431372549,0.6333333333333333,0.0,0.0,0.1206896551724138
2026-02-02/2026-02-08,0.11494252873563218,0.0,0.1,0.4,0.5,0.005847953216374269,0.203125,0.043478260869565216,0.10738255033557047,0.0,0.0,0.0,0.046153846153846156,0.03225806451612903,0.0,0.0,0.05405405405405406,0.06593406593406594,0.2,0.12195121951219512,0.0,0.0,0.16326530612244897,0.0947867298578199,0.006622516556291391,0.11538461538461539,0.038834951456310676,0.4634146341463415,0.0,0.1111111111111111,0.3157894736842105,0.09032258064516129,0.0,0.05172413793103448,0.004048582995951417,0.02631578947368421,0.08333333333333333,0.0,0.21428571428571427,0.0,0.25,0.08333333333333333,0.0,0.30303030303030304,0.0,0.016666666666666666,0.0,0.0,0.1724137931034483
2026-02-09/2026-02-15,0.08045977011494253,0.0,0.1,0.04,0.35,0.005847953216374269,0.09375,0.15217391304347827,0.08053691275167785,0.0,0.0,0.05,0.0,0.03225806451612903,0.030303030303030304,0.3125,0.02702702702702703,0.12087912087912088,0.0,0.18699186991869918,0.0,0.0,0.2653061224489796,0.04265402843601896,0.0,0.0,0.038834951456310676,0.24390243902439024,0.0,0.037037037037037035,0.0,0.11612903225806452,0.0,0.0,0.020242914979757085,0.019736842105263157,0.0,0.0,0.09523809523809523,0.15151515151515152,0.5,0.041666666666666664,0.05714285714285714,0.18181818181818182,0.0,0.0,0.0,0.0,0.08620689655172414
2026-02-23/2026-03-01,0.04597701149425287,0.16666666666666666,0.025,0.2,0.2,0.011695906432748537,0.125,0.15217391304347827,0.040268456375838924,0.0,0.0,0.35,0.046153846153846156,0.0967741935483871,0.36363636363636365,0.1875,0.05405405405405406,0.0989010989010989,0.0,0.16260162601626016,0.3333333333333333,0.029411764705882353,0.08163265306122448,0.0995260663507109,0.0,0.15384615384615385,0.1262135922330097,0.17073170731707318,0.38095238095238093,0.14814814814814814,0.0,0.11612903225806452,0.0967741935483871,0.1206896551724138,0.03643724696356275,0.07236842105263158,0.041666666666666664,0.0,0.07142857142857142,0.06060606060606061,0.25,0.20833333333333334,0.0,0.030303030303030304,0.09803921568627451,0.11666666666666667,0.125,0.0,0.10344827586206896
2026-03-02/2026-03-08,0.1724137931034483,0.041666666666666664,0.025,0.24,0.05,0.023391812865497075,0.078125,0.10869565217391304,0.087248322147651,0.0,0.0,0.05,0.046153846153846156,0.0,0.0,0.0625,0.0,0.1978021978021978,0.0,0.008130081300813009,0.5,0.07352941176470588,0.0,0.05687203791469194,0.046357615894039736,0.11538461538461539,0.019417475728155338,0.04878048780487805,0.047619047619047616,0.1111111111111111,0.05263157894736842,0.08387096774193549,0.3709677419354839,0.1206896551724138,0.06882591093117409,0.05921052631578947,0.041666666666666664,0.0,0.0,0.030303030303030304,0.0,0.08333333333333333,0.0,0.0,0.0784313725490196,0.23333333333333334,0.125,0.0,0.0
2026-03-09/2026-03-15,0.09195402298850575,0.041666666666666664,0.125,0.24,0.05,0.0,0.109375,0.021739130434782608,0.06040268456375839,0.038461538461538464,0.0,0.0,0.09230769230769231,0.010752688172043012,0.0,0.0,0.0,0.2087912087912088,0.0,0.0,0.6666666666666666,0.04411764705882353,0.061224489795918366,0.02843601895734597,0.013245033112582781,0.11538461538461539,0.05825242718446602,0.0,0.14285714285714285,0.1111111111111111,0.10526315789473684,0.06451612903225806,0.3548387096774194,0.10344827586206896,0.0,0.10526315789473684,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.24242424242424243,0.0196078431372549,0.0,0.0,0.0,0.13793103448275862
2026-03-16/2026-03-22,0.08045977011494253,0.0,0.075,0.08,0.25,0.0,0.046875,0.0,0.0738255033557047,0.07692307692307693,0.0,0.0,0.03076923076923077,0.07526881720430108,0.0,0.0,0.0,0.04395604395604396,0.3,0.056910569105691054,0.16666666666666666,0.0,0.02040816326530612,0.052132701421800945,0.006622516556291391,0.0,0.02912621359223301,0.0,0.14285714285714285,0.037037037037037035,0.0,0.09032258064516129,0.04838709677419355,0.0,0.0,0.06578947368421052,0.0,0.0,0.11904761904761904,0.030303030303030304,0.0,0.125,0.02857142857142857,0.12121212121212122,0.1568627450980392,0.0,0.0,0.0,0.10344827586206896
