优选池 90 只
板块分布: [('化工行业', 5), ('机械行业', 4), ('房地产', 4), ('汽车制造', 4), ('交通运输', 3), ('钢铁行业', 3), ('电子信息', 3), ('综合行业', 3), ('服装鞋类', 3), ('有色金属', 3), ('商业百货', 2), ('电力行业', 2)]

0	000507	珠海港	5.04	+0.13	2.31	0.44	交通运输
0	601000	唐山港	4.58	+0.11	2.50	0.65	交通运输
0	002278	神开股份	8.29	+0.02	4.72	0.69	机械行业
1	000898	鞍钢股份	2.04	+0.41	2.50	0.85	钢铁行业
1	002091	江苏国泰	7.78	+0.28	2.12	0.50	物资外贸
1	600941	中国移动	98.48	+0.21	4.30	0.33	
1	002194	武汉凡谷	10.04	+0.13	2.43	0.96	电子信息
1	603987	康德莱	7.58	+0.12	3.01	0.55	
1	600655	豫园股份	4.58	-0.01	2.47	0.63	商业百货
2	603068	博通集成	39.09	+0.67	2.29	1.03	
2	601107	四川成渝	5.79	+0.55	4.17	0.59	公路桥梁
2	600133	东湖高新	8.36	+0.28	3.23	0.61	房地产
3	603171	税友股份	43.67	+0.64	2.96	1.02	
3	600231	凌钢股份	1.74	+0.45	2.27	0.98	钢铁行业
3	603528	多伦科技	6.32	+0.20	3.29	0.63	
4	000720	新能泰山	3.77	-0.13	4.04	1.00	电力行业
5	000839	国安股份	2.81	+0.70	2.81	0.84	综合行业
5	000055	方大集团	3.59	+0.55	3.42	0.64	建筑建材
5	000755	山西高速	4.85	+0.22	3.43	0.55	化工行业
5	603192	汇得科技	20.89	+0.09	2.83	0.76	
5	002377	国创高新	2.75	-0.08	3.06	0.84	化工行业
6	000707	双环科技	4.67	+0.78	3.98	0.65	化工行业
7	600433	冠豪高新	3.37	+0.34	2.13	0.73	造纸行业
7	001379	腾达科技	16.17	+0.24	2.33	0.64	
7	600846	同济科技	11.91	+0.18	4.93	0.79	综合行业
8	000504	南华生物	8.56	+0.72	2.81	0.82	传媒娱乐
8	600960	渤海汽车	4.03	+0.61	2.54	0.65	汽车制造
8	600868	梅雁吉祥	2.81	+0.55	2.99	0.87	电力行业
8	000554	泰山石油	6.57	+0.46	3.64	0.67	石油行业
8	603197	保隆科技	30.27	+0.17	3.25	0.60	
8	001311	多利科技	17.88	+0.10	4.17	0.93	
8	002763	汇洁股份	7.56	+0.05	4.19	0.58	
9	002243	力合科创	7.48	+0.46	4.84	0.66	塑料制品
9	002540	亚太科技	5.22	+0.41	3.60	0.58	有色金属
9	600475	华光环能	15.23	+0.35	3.65	0.97	机械行业
9	002184	海得控制	10.10	+0.24	2.91	0.54	电子信息
9	002767	先锋电子	18.28	+0.20	3.78	0.67	
9	002494	华斯股份	4.87	-0.17	4.24	0.82	服装鞋类
10	002666	德联集团	4.25	+0.73	3.55	0.71	化工行业
10	603028	赛福天	7.15	+0.67	4.65	0.77	
10	603208	江山欧派	11.58	+0.18	4.58	0.75	
11	600800	渤海化学	3.46	+0.77	4.78	1.09	综合行业
20	600851	海欣股份	8.50	+0.34	2.30	0.97	纺织行业
20	601368	绿城水务	4.52	+0.28	3.55	0.51	
21	000761	本钢板材	2.31	+0.52	2.33	1.01	钢铁行业
22	000006	深振业Ａ	7.11	+0.05	2.26	0.90	房地产
23	605337	李子园	9.63	+0.37	4.07	0.62	
23	002546	新联电子	7.77	+0.37	2.27	0.59	电器行业
23	601229	上海银行	9.47	+0.32	4.14	0.50	
23	002715	登云股份	14.05	+0.29	3.35	0.88	汽车制造
23	002508	老板电器	15.96	+0.10	2.84	0.60	家电行业
24	603719	良品铺子	9.81	+0.93	3.78	0.68	
24	600751	海航科技	3.11	+0.61	3.10	0.82	交通运输
24	600300	维维股份	3.32	+0.56	4.31	0.71	食品行业
24	002688	金河生物	5.33	+0.55	3.91	0.65	生物制药
24	603896	寿仙谷	14.85	+0.36	2.33	0.56	
24	600339	中油工程	3.35	+0.33	2.45	0.75	化工行业
24	001218	丽臣实业	23.91	+0.31	2.71	0.67	
24	603307	扬州金泉	25.02	+0.16	4.04	0.79	
24	002235	安妮股份	8.71	+0.08	3.91	1.17	造纸行业
24	600768	富邦新材	15.04	-0.00	3.62	0.73	有色金属
24	000809	和展能源	3.38	-0.08	3.39	0.76	房地产
24	002607	中公教育	2.05	-0.20	3.80	0.93	汽车制造
25	002599	盛通股份	5.84	+0.81	2.56	0.68	印刷包装
25	600223	福瑞达	5.69	+0.50	3.23	0.69	房地产
25	000599	青岛双星	4.72	+0.50	2.77	0.67	汽车制造
25	002563	森马服饰	5.77	+0.27	3.18	0.78	服装鞋类
25	603109	神驰机电	17.44	+0.14	2.78	0.55	
26	600195	中牧股份	7.01	+0.98	4.45	0.54	农林牧渔
26	600860	京城股份	8.45	+0.86	2.50	0.87	机械行业
26	000605	渤海股份	6.09	+0.57	4.34	0.65	供水供气
26	603518	锦泓集团	8.13	+0.51	2.95	0.62	服装鞋类
26	603227	雪峰科技	7.72	+0.50	2.98	0.57	其它行业
26	603677	奇精机械	13.65	+0.40	2.16	0.59	
26	603717	天域生物	6.61	+0.12	5.00	0.88	
26	605007	五洲特纸	14.74	+0.08	3.63	0.94	
27	000789	万年青	4.14	+0.99	2.21	0.55	水泥行业
27	601798	蓝科高新	7.74	+0.89	4.77	0.57	机械行业
27	002481	双塔食品	4.49	+0.80	3.63	0.68	食品行业
27	603367	辰欣药业	14.52	+0.59	3.76	0.76	
28	603280	南方路机	27.16	+0.53	3.69	0.88	
28	002895	川恒股份	33.09	+0.26	3.12	0.82	
28	600519	贵州茅台	1316.51	-0.01	2.09	0.36	酿酒行业
29	002880	卫光生物	22.66	+0.46	3.06	0.77	
29	002462	嘉事堂	12.39	+0.09	2.34	0.56	商业百货
30	600331	宏达股份	12.47	+0.51	4.43	0.96	有色金属
30	003015	日久光电	12.10	+0.27	4.50	0.72	
31	002749	国光股份	8.74	+0.63	2.71	0.65	农药化肥
31	000917	电广传媒	7.24	+0.35	3.21	0.92	传媒娱乐
31	600756	浪潮软件	14.39	+0.15	2.42	0.94	电子信息
