601000	唐山港	4.56	-2.77
000507	珠海港	5.03	-0.79
002278	神开股份	8.28	-0.72
000898	鞍钢股份	2.03	-1.46
600655	豫园股份	4.58	+0.88
600941	中国移动	98.39	-1.90
002194	武汉凡谷	10.04	+0.80
002091	江苏国泰	7.75	+0.52
603987	康德莱	7.58	+0.13
601107	四川成渝	5.78	-0.17
603068	博通集成	39.05	-1.64
600133	东湖高新	8.36	-0.83
603171	税友股份	43.55	-2.83
600231	凌钢股份	1.74	-0.57
603528	多伦科技	6.33	-0.47
000720	新能泰山	3.78	-1.05
000755	山西高速	4.85	+1.68
000055	方大集团	3.58	+0.28
002377	国创高新	2.75	+0.00
603192	汇得科技	20.89	+10.01
000839	国安股份	2.81	+2.18
000707	双环科技	4.68	+0.86
001379	腾达科技	16.15	+0.19
600846	同济科技	11.89	+1.19
600433	冠豪高新	3.38	+0.60
603197	保隆科技	30.20	-0.23
600960	渤海汽车	4.04	+0.00
600868	梅雁吉祥	2.81	+0.00
002763	汇洁股份	7.56	+0.53
000554	泰山石油	6.56	+0.77
000504	南华生物	8.60	+6.17
001311	多利科技	17.87	+3.71
002184	海得控制	10.08	+0.60
002494	华斯股份	4.87	+1.46
002243	力合科创	7.48	+1.36
002540	亚太科技	5.21	+1.36
002767	先锋电子	18.30	+1.22
600475	华光环能	15.30	+2.75
002666	德联集团	4.25	+0.71
603208	江山欧派	11.54	+1.58
603028	赛福天	7.15	+2.14
600800	渤海化学	3.45	+0.88
600851	海欣股份	8.51	+0.12
601368	绿城水务	4.52	-0.22
000761	本钢板材	2.30	-1.29
000006	深振业Ａ	7.10	+1.28
605337	李子园	9.64	+1.90
002508	老板电器	15.99	-0.37
002715	登云股份	14.02	-0.07
601229	上海银行	9.47	-1.46
002546	新联电子	7.76	-2.14
603307	扬州金泉	25.03	+0.89
600768	富邦新材	15.03	+0.13
002607	中公教育	2.05	+0.99
002688	金河生物	5.34	+1.14
001218	丽臣实业	23.88	-0.33
002235	安妮股份	8.72	-0.23
600751	海航科技	3.10	-0.32
000809	和展能源	3.38	+0.30
600339	中油工程	3.35	-0.30
600300	维维股份	3.33	+1.83
603896	寿仙谷	14.85	-0.13
603719	良品铺子	9.81	+1.66
600223	福瑞达	5.69	+0.18
002563	森马服饰	5.77	-1.20
603109	神驰机电	17.43	+0.35
002599	盛通股份	5.85	+0.34
000599	青岛双星	4.71	-0.42
600195	中牧股份	7.02	+1.74
600860	京城股份	8.46	-0.35
603227	雪峰科技	7.70	+0.00
603518	锦泓集团	8.13	+0.12
603677	奇精机械	13.64	+0.89
000605	渤海股份	6.07	+1.51
605007	五洲特纸	14.71	-0.68
603717	天域生物	6.62	+1.22
603367	辰欣药业	14.53	+0.35
000789	万年青	4.13	-0.96
002481	双塔食品	4.50	+3.21
601798	蓝科高新	7.72	-0.90
603280	南方路机	27.18	-0.98
600519	贵州茅台	1315.02	-1.13
002895	川恒股份	32.96	-1.90
002462	嘉事堂	12.37	+0.65
002880	卫光生物	22.70	+2.25
600331	宏达股份	12.47	-1.42
003015	日久光电	12.11	+0.33
600756	浪潮软件	14.36	-1.64
002749	国光股份	8.74	-0.23
000917	电广传媒	7.28	+0.55
